time,flow,occupancy,speed
8.70012,0,nan,nan
18.7001,0,nan,nan
28.7001,0,nan,nan
38.7001,465,1.98781,32.1963
48.7001,591,2.16306,29.5877
58.7001,858,2.34007,27.3496
68.7001,838,2.16518,29.5587
78.7001,960,2.17815,29.3828
88.7001,1055,2.53934,25.2034
98.7001,1130,2.33995,27.3511
108.7,1159,2.103,30.4327
118.7,1152,2.18383,29.3063
128.7,1230,2.34675,27.2718
138.7,1219,2.33389,27.4221
148.7,1283,2.61874,24.4393
158.7,1247,2.23894,28.5849
168.7,1323,2.52396,25.357
178.7,1309,2.34818,27.2552
188.7,1297,2.2392,28.5817
198.7,1340,2.3896,26.7827
208.7,1379,2.19752,29.1238
218.7,1366,2.20552,29.0181
228.7,1353,2.16397,29.5752
238.7,1387,2.3125,27.6756
248.7,1375,2.16897,29.5071
258.7,1377,2.07068,30.9077
268.7,1393,2.1851,29.2893
278.7,1420,2.13037,30.0417
288.7,1409,2.06284,31.0252
298.7,1434,2.04399,31.3114
