time,flow,occupancy,speed
7.99159,0,nan,nan
17.9916,0,nan,nan
27.9916,0,nan,nan
37.9916,0,nan,nan
47.9916,600,2.01662,31.7362
57.9916,1241,2.30047,27.8203
67.9916,1535,2.46367,25.9775
77.9916,1754,2.61417,24.4819
87.9916,1800,2.54081,25.1888
97.9916,1947,2.58533,24.7551
107.992,2266,2.842,22.5194
117.992,2349,2.90885,22.0018
127.992,2447,2.75893,23.1974
137.992,2478,2.58972,24.7131
147.992,2675,2.41861,26.4615
157.992,2711,2.30952,27.7114
167.992,2721,2.68845,23.8056
177.992,2811,3.20208,19.987
187.992,2834,4.32529,14.7967
197.992,2854,6.41392,9.9783
207.992,2821,6.72522,9.51641
217.992,2840,7.09838,9.01615
227.992,2889,7.87736,8.12455
237.992,2949,10.919,5.86137
247.992,2961,12.4213,5.15243
257.992,2944,10.5434,6.07014
267.992,2995,10.66,6.00373
277.992,2965,10.4186,6.14286
287.992,3000,10.4598,6.11867
297.992,2996,12.4636,5.13497
