time,flow,occupancy,speed
6.7888,0,nan,nan
16.7888,0,nan,nan
26.7888,0,nan,nan
36.7888,0,nan,nan
46.7888,0,nan,nan
56.7888,0,nan,nan
66.7888,0,nan,nan
76.7888,0,nan,nan
86.7888,0,nan,nan
96.7888,0,nan,nan
106.789,168,1.96963,32.4934
116.789,308,2.05959,31.0741
126.789,283,1.97546,32.3975
136.789,526,2.18898,29.2373
146.789,490,2.06325,31.019
156.789,482,2.41592,26.4909
166.789,453,2.31834,27.6059
176.789,427,3.04332,21.0297
186.789,558,2.84204,22.519
196.789,750,2.81707,22.7186
206.789,713,2.74697,23.2984
216.789,763,2.45634,26.055
226.789,730,2.44097,26.219
236.789,714,2.81052,22.7716
246.789,846,2.85631,22.4065
256.789,953,2.82232,22.6764
266.789,944,2.74346,23.3282
276.789,949,2.37262,26.9744
286.789,1004,2.52068,25.39
296.789,1043,2.33136,27.4517
