time,flow,occupancy,speed
5.20477,0,nan,nan
15.2048,0,nan,nan
25.2048,0,nan,nan
35.2048,0,nan,nan
45.2048,0,nan,nan
55.2048,0,nan,nan
65.2048,0,nan,nan
75.2048,0,nan,nan
85.2048,0,nan,nan
95.2048,0,nan,nan
105.205,0,nan,nan
115.205,0,nan,nan
125.205,0,nan,nan
135.205,133,1.9586,32.6764
145.205,123,2.06734,30.9576
155.205,231,1.88776,33.9026
165.205,305,2.08496,30.696
175.205,410,2.18059,29.3499
185.205,388,2.05713,31.1114
195.205,368,2.45436,26.076
205.205,350,2.51066,25.4913
215.205,468,2.17874,29.3747
225.205,479,2.10647,30.3826
235.205,520,2.23349,28.6547
245.205,499,2.25874,28.3344
255.205,521,2.2667,28.2349
265.205,515,2.13554,29.969
275.205,588,2.28628,27.9931
285.205,568,2.33115,27.4542
295.205,597,2.4471,26.1534
