time,flow,occupancy,speed
9.78618,0,nan,nan
19.7862,0,nan,nan
29.7862,0,nan,nan
39.7862,0,nan,nan
49.7862,0,nan,nan
59.7862,120,2.00012,31.998
69.7862,257,1.96211,32.618
79.7862,360,2.15438,29.7069
89.7862,441,2.08595,30.6814
99.7862,505,2.24263,28.5379
109.786,655,2.0968,30.5227
119.786,601,1.9932,32.1092
129.786,610,2.62717,24.3608
139.786,721,2.38373,26.8486
149.786,672,2.31778,27.6127
159.786,675,2.00253,31.9596
169.786,720,2.00156,31.9751
179.786,760,2.19508,29.1561
189.786,739,2.09573,30.5383
199.786,774,2.31898,27.5984
209.786,840,2.44705,26.1539
219.786,835,2.42864,26.3522
229.786,861,2.39713,26.6986
239.786,855,2.23151,28.6801
249.786,922,2.35279,27.2017
259.786,886,2.2418,28.5485
269.786,920,2.26881,28.2086
279.786,939,2.32935,27.4754
289.786,981,2.02042,31.6765
299.786,948,2.15605,29.684
