time,flow,occupancy,speed
4.73608,0,nan,nan
14.7361,0,nan,nan
24.7361,0,nan,nan
34.7361,0,nan,nan
44.7361,0,nan,nan
54.7361,0,nan,nan
64.7361,0,nan,nan
74.7361,96,2.00645,31.8971
84.7361,212,2.00006,31.999
94.7361,304,2.07514,30.8414
104.736,378,2.20389,29.0395
114.736,439,2.18484,29.2927
124.736,577,2.23588,28.6241
134.736,534,2.05635,31.1231
144.736,547,2.54421,25.1552
154.736,604,2.5281,25.3154
164.736,611,2.36259,27.0889
174.736,618,2.05197,31.1895
184.736,643,2.00771,31.8771
194.736,684,2.17189,29.4674
204.736,668,2.25058,28.4372
214.736,737,2.31828,27.6067
224.736,768,2.33349,27.4267
234.736,828,2.40987,26.5575
244.736,809,2.38131,26.8759
254.736,805,2.2922,27.9208
264.736,856,2.36639,27.0454
274.736,838,2.45245,26.0964
284.736,897,2.38091,26.8805
294.736,928,2.23621,28.6198
