time,flow,occupancy,speed
1.10375,0,nan,nan
11.1038,0,nan,nan
21.1038,0,nan,nan
31.1038,0,nan,nan
41.1038,0,nan,nan
51.1038,0,nan,nan
61.1038,0,nan,nan
71.1038,0,nan,nan
81.1038,0,nan,nan
91.1038,0,nan,nan
101.104,178,1.82655,35.0388
111.104,259,2.0545,31.1512
121.104,416,2.06972,30.922
131.104,549,2.13053,30.0395
141.104,790,2.2755,28.1257
151.104,833,2.4164,26.4857
161.104,916,2.40451,26.6167
171.104,925,2.71965,23.5324
181.104,934,2.78624,22.9701
191.104,1280,2.80829,22.7897
201.104,1485,2.81846,22.7075
211.104,1620,2.74078,23.351
221.104,1742,2.80211,22.8399
231.104,1853,2.84662,22.4828
241.104,1926,2.80609,22.8075
251.104,2078,2.81363,22.7464
261.104,2081,2.67314,23.9418
271.104,2164,2.28177,28.0483
281.104,2189,2.30297,27.7903
291.104,2238,2.41922,26.4548
301.104,2259,2.22676,28.7414
311.104,2302,2.56192,24.9813
321.104,2309,2.72241,23.5086
331.104,2381,2.48145,25.7913
341.104,2416,2.59022,24.7083
351.104,2378,2.54313,25.1659
361.104,2432,2.21404,28.9064
371.104,2376,2.16746,29.5276
381.104,2427,2.30255,27.7953
391.104,2512,2.19931,29.1
401.104,2531,2.42829,26.356
411.104,2583,2.27453,28.1377
421.104,2641,2.48999,25.7029
431.104,2680,2.55556,25.0434
441.104,2644,2.48826,25.7208
