time,flow,occupancy,speed
1.86332,0,nan,nan
11.8633,0,nan,nan
21.8633,0,nan,nan
31.8633,0,nan,nan
41.8633,0,nan,nan
51.8633,0,nan,nan
61.8633,0,nan,nan
71.8633,0,nan,nan
81.8633,0,nan,nan
91.8633,0,nan,nan
101.863,0,nan,nan
111.863,0,nan,nan
121.863,0,nan,nan
131.863,136,1.8812,34.0208
141.863,126,1.94057,32.98
151.863,237,2.05704,31.1126
161.863,222,1.96474,32.5743
171.863,418,2.13135,30.0279
181.863,395,2.23954,28.5773
191.863,375,2.28464,28.0131
201.863,499,2.17252,29.4588
211.863,509,2.26294,28.2818
221.863,600,2.1871,29.2625
231.863,590,2.13354,29.9971
241.863,565,2.37017,27.0023
251.863,628,2.48075,25.7986
261.863,783,2.4446,26.1801
271.863,754,2.17834,29.3801
281.863,817,2.30157,27.8071
291.863,851,2.31964,27.5905
