time,flow,occupancy,speed
9.44669,0,nan,nan
19.4467,0,nan,nan
29.4467,0,nan,nan
39.4467,0,nan,nan
49.4467,0,nan,nan
59.4467,0,nan,nan
69.4467,259,1.94667,32.8767
79.4467,362,2.01324,31.7895
89.4467,563,2.26569,28.2475
99.4467,724,2.21863,28.8467
109.447,657,2.28232,28.0416
119.447,602,2.31865,27.6023
129.447,778,2.27009,28.1927
139.447,877,2.33539,27.4045
149.447,915,2.19283,29.186
159.447,903,2.11579,30.2488
169.447,934,2.3789,26.9032
179.447,962,2.33064,27.4603
189.447,1083,2.41187,26.5355
199.447,1137,2.12791,30.0764
209.447,1134,2.50136,25.5861
219.447,1246,2.30501,27.7657
229.447,1192,2.52938,25.3026
239.447,1277,2.22934,28.7081
249.447,1226,2.16726,29.5304
259.447,1290,2.13361,29.9961
269.447,1336,2.14383,29.8531
279.447,1301,2.25749,28.3501
289.447,1405,2.31323,27.667
299.447,1382,2.01206,31.8082
