time,flow,occupancy,speed
5.37373,0,nan,nan
15.3737,0,nan,nan
25.3737,0,nan,nan
35.3737,0,nan,nan
45.3737,0,nan,nan
55.3737,130,2.03774,31.4073
65.3737,275,1.98069,32.312
75.3737,382,2.16644,29.5416
85.3737,463,2.01676,31.7341
95.3737,528,2.24938,28.4523
105.374,683,2.07014,30.9157
115.374,624,2.11664,30.2365
125.374,746,2.44282,26.1992
135.374,824,2.31132,27.6899
145.374,866,2.11515,30.2578
155.374,810,2.15821,29.6542
165.374,827,2.27782,28.097
175.374,841,2.32229,27.559
185.374,873,2.43596,26.2731
195.374,829,2.37181,26.9836
205.374,911,2.80155,22.8445
215.374,919,2.58424,24.7655
225.374,942,2.06284,31.0252
235.374,994,2.4149,26.5022
245.374,997,2.33135,27.4519
255.374,986,2.42359,26.4071
265.374,1003,2.46143,26.0011
275.374,1045,2.38301,26.8568
285.374,1047,2.21912,28.8402
295.374,1048,2.25121,28.4292
