time,flow,occupancy,speed
5.8202,0,nan,nan
15.8202,0,nan,nan
25.8202,0,nan,nan
35.8202,0,nan,nan
45.8202,0,nan,nan
55.8202,0,nan,nan
65.8202,0,nan,nan
75.8202,0,nan,nan
85.8202,0,nan,nan
95.8202,0,nan,nan
105.82,0,nan,nan
115.82,0,nan,nan
125.82,0,nan,nan
135.82,0,nan,nan
145.82,123,1.86905,34.2421
155.82,115,2.01066,31.8303
165.82,217,2.03609,31.4327
175.82,286,1.94928,32.8327
185.82,387,2.11577,30.249
195.82,367,2.20729,28.9949
205.82,454,2.26892,28.2072
215.82,583,2.03135,31.5061
225.82,557,2.30974,27.7088
235.82,702,2.17886,29.3732
245.82,673,2.16713,29.5322
255.82,731,2.56361,24.9648
265.82,704,2.40422,26.6198
275.82,743,2.21723,28.8648
285.82,856,2.33973,27.3536
295.82,827,2.25361,28.3989
