time,flow,occupancy,speed
4.61479,0,nan,nan
14.6148,0,nan,nan
24.6148,0,nan,nan
34.6148,0,nan,nan
44.6148,0,nan,nan
54.6148,0,nan,nan
64.6148,278,1.99386,32.0986
74.6148,385,1.98785,32.1956
84.6148,468,2.21522,28.8911
94.6148,608,2.19652,29.137
104.615,653,2.31038,27.701
114.615,596,1.96601,32.5532
124.615,693,2.50409,25.5582
134.615,775,2.32432,27.535
144.615,871,2.39311,26.7434
154.615,884,2.21327,28.9166
164.615,940,2.26082,28.3083
174.615,989,2.37784,26.9152
184.615,1053,2.43423,26.2916
194.615,1091,2.2733,28.1529
204.615,1126,2.23968,28.5755
214.615,1157,2.1007,30.466
224.615,1218,2.39427,26.7305
234.615,1258,2.27256,28.162
244.615,1265,2.28986,27.9492
254.615,1329,2.15166,29.7445
264.615,1319,2.14909,29.7801
274.615,1337,2.10177,30.4506
284.615,1340,2.32249,27.5566
294.615,1344,2.15558,29.6904
