time,flow,occupancy,speed
4.73608,0,nan,nan
14.7361,0,nan,nan
24.7361,0,nan,nan
34.7361,518,2.01937,31.6931
44.7361,885,2.23551,28.6288
54.7361,986,2.32589,27.5163
64.7361,1112,2.35436,27.1836
74.7361,1252,2.49595,25.6416
84.7361,1317,2.27263,28.1612
94.7361,1444,2.09209,30.5914
104.736,1409,2.26157,28.299
114.736,1443,2.37048,26.9987
124.736,1529,2.52528,25.3437
134.736,1469,2.38797,26.8011
144.736,1542,2.53384,25.2581
154.736,1582,2.3756,26.9405
164.736,1573,2.25006,28.4437
174.736,1586,2.21217,28.9309
184.736,1617,2.22767,28.7295
194.736,1589,2.15428,29.7084
204.736,1617,2.3522,27.2085
214.736,1659,2.19025,29.2204
224.736,1665,2.18922,29.2342
234.736,1687,2.1661,29.5462
244.736,1662,2.07132,30.8982
254.736,1681,1.98846,32.1858
264.736,1699,2.13253,30.0113
274.736,1690,2.06093,31.054
284.736,1694,2.17132,29.4751
294.736,1710,2.25806,28.3429
