time,flow,occupancy,speed
4.736,0,nan,nan
14.736,0,nan,nan
24.736,0,nan,nan
34.736,0,nan,nan
44.736,0,nan,nan
54.736,0,nan,nan
64.736,0,nan,nan
74.736,0,nan,nan
84.736,0,nan,nan
94.736,0,nan,nan
104.736,0,nan,nan
114.736,156,1.91995,33.3342
124.736,144,2.02223,31.6482
134.736,267,1.98375,32.2622
144.736,373,2.10764,30.3657
154.736,465,2.14988,29.7691
164.736,437,2.26142,28.3007
174.736,412,2.55148,25.0835
184.736,604,2.0998,30.4791
194.736,684,2.19526,29.1537
204.736,668,2.23492,28.6363
214.736,637,2.31764,27.6143
224.736,688,2.35108,27.2215
234.736,828,2.36092,27.108
244.736,809,2.26077,28.3089
254.736,833,2.42386,26.4042
264.736,938,2.35516,27.1744
274.736,904,2.19261,29.189
284.736,1011,2.19148,29.2039
294.736,1038,2.50094,25.5904
