time,flow,occupancy,speed
7.58616,0,nan,nan
17.5862,0,nan,nan
27.5862,0,nan,nan
37.5862,0,nan,nan
47.5862,0,nan,nan
57.5862,0,nan,nan
67.5862,0,nan,nan
77.5862,232,1.94436,32.9157
87.5862,328,2.02848,31.5508
97.5862,405,2.06889,30.9344
107.586,669,2.12964,30.0521
117.586,612,2.17895,29.372
127.586,620,2.41931,26.4539
137.586,680,2.31848,27.6042
147.586,682,2.13335,29.9998
157.586,845,2.48998,25.7031
167.586,816,2.19649,29.1374
177.586,871,2.20164,29.0692
187.586,921,2.28254,28.0389
197.586,1002,2.30906,27.7169
207.586,953,2.40246,26.6393
217.586,1058,2.32745,27.4979
227.586,1091,2.26781,28.2211
237.586,1227,2.19289,29.1852
247.586,1177,2.23636,28.6179
257.586,1243,2.27076,28.1845
267.586,1264,2.37085,26.9945
277.586,1257,2.41205,26.5335
287.586,1276,2.11155,30.3095
297.586,1282,2.16943,29.5009
