time,flow,occupancy,speed
7.80529,0,nan,nan
17.8053,0,nan,nan
27.8053,0,nan,nan
37.8053,0,nan,nan
47.8053,0,nan,nan
57.8053,0,nan,nan
67.8053,0,nan,nan
77.8053,0,nan,nan
87.8053,204,1.90379,33.6171
97.8053,294,2.0038,31.9394
107.805,333,1.95371,32.7582
117.805,488,2.1714,29.474
127.805,535,2.1228,30.1489
137.805,496,2.3679,27.0282
147.805,584,2.16231,29.598
157.805,638,2.10811,30.3589
167.805,750,2.49044,25.6983
177.805,708,2.48661,25.7379
187.805,766,2.37592,26.9369
197.805,800,2.38084,26.8813
207.805,848,2.35746,27.1479
217.805,942,2.37535,26.9434
227.805,1011,2.36463,27.0656
237.805,1059,2.29162,27.9278
247.805,1060,2.36107,27.1064
257.805,1089,2.11691,30.2328
267.805,1142,2.05194,31.19
277.805,1153,2.21239,28.928
287.805,1213,2.42453,26.3968
297.805,1233,2.4219,26.4255
