time,flow,occupancy,speed
8.70012,0,nan,nan
18.7001,0,nan,nan
28.7001,0,nan,nan
38.7001,465,1.98781,32.1963
48.7001,591,2.16306,29.5877
58.7001,858,2.34007,27.3496
68.7001,838,2.16518,29.5587
78.7001,960,2.17815,29.3828
88.7001,1055,2.53934,25.2034
98.7001,1130,2.32764,27.4956
108.7,1159,2.11837,30.212
118.7,1243,2.18083,29.3467
128.7,1230,2.33513,27.4075
138.7,1219,2.29785,27.8521
148.7,1210,2.58617,24.747
158.7,1315,2.26971,28.1974
168.7,1259,2.38535,26.8304
178.7,1309,2.38722,26.8095
188.7,1297,2.2292,28.7099
198.7,1340,2.3544,27.1832
208.7,1379,2.30882,27.7198
218.7,1366,2.20513,29.0232
228.7,1353,2.12801,30.075
238.7,1387,2.37173,26.9845
248.7,1375,2.18596,29.2777
258.7,1377,2.2571,28.3549
268.7,1393,2.26954,28.1995
278.7,1407,2.20618,29.0094
288.7,1409,2.06857,30.9393
298.7,1434,2.02327,31.632
