time,flow,occupancy,speed
5.8202,0,nan,nan
15.8202,0,nan,nan
25.8202,0,nan,nan
35.8202,0,nan,nan
45.8202,0,nan,nan
55.8202,0,nan,nan
65.8202,0,nan,nan
75.8202,0,nan,nan
85.8202,0,nan,nan
95.8202,0,nan,nan
105.82,0,nan,nan
115.82,0,nan,nan
125.82,0,nan,nan
135.82,0,nan,nan
145.82,123,1.86795,34.2622
155.82,115,2.00057,31.9909
165.82,217,2.0428,31.3295
175.82,204,1.95527,32.7321
185.82,309,2.14282,29.8672
195.82,349,2.15637,29.6795
205.82,332,2.2068,29.0013
215.82,316,2.26895,28.2069
225.82,302,2.60192,24.5972
235.82,473,2.13664,29.9536
245.82,497,2.17856,29.3772
255.82,492,2.09292,30.5793
265.82,514,2.37455,26.9525
275.82,495,2.35673,27.1562
285.82,554,2.51606,25.4366
295.82,608,2.44202,26.2078
