time,flow,occupancy,speed
3.37396,0,nan,nan
13.374,0,nan,nan
23.374,0,nan,nan
33.374,0,nan,nan
43.374,663,2.00075,31.988
53.374,741,2.20596,29.0124
63.374,908,2.18919,29.2345
73.374,981,2.09328,30.574
83.374,1122,2.41692,26.4799
93.374,1195,2.36299,27.0844
103.374,1218,2.16334,29.5838
113.374,1301,2.30794,27.7304
123.374,1342,2.31282,27.6719
133.374,1403,2.58186,24.7884
143.374,1381,2.49462,25.6553
153.374,1455,2.31891,27.5992
163.374,1498,2.51853,25.4116
173.374,1495,2.22223,28.8
183.374,1570,2.15433,29.7076
193.374,1545,2.23737,28.6051
203.374,1522,2.16227,29.5986
213.374,1602,2.21433,28.9026
223.374,1595,2.19473,29.1608
233.374,1604,2.30788,27.731
243.374,1627,2.23182,28.6762
253.374,1648,2.13433,29.9859
263.374,1626,2.01646,31.7389
273.374,1646,2.21914,28.84
283.374,1664,2.11733,30.2268
293.374,1644,2.18972,29.2275
