time,flow,occupancy,speed
7.99159,0,nan,nan
17.9916,0,nan,nan
27.9916,0,nan,nan
37.9916,0,nan,nan
47.9916,0,nan,nan
57.9916,0,nan,nan
67.9916,0,nan,nan
77.9916,0,nan,nan
87.9916,204,1.90896,33.5261
97.9916,293,2.01316,31.7909
107.992,333,1.9459,32.8897
117.992,610,2.15703,29.6704
127.992,562,2.09362,30.569
137.992,678,2.51931,25.4037
147.992,754,2.27699,28.1073
157.992,797,2.32042,27.5812
167.992,792,2.21616,28.8788
177.992,748,2.28022,28.0675
187.992,823,2.32691,27.5042
197.992,800,2.43252,26.3101
207.992,917,2.39972,26.6698
217.992,908,2.29457,27.892
227.992,1010,2.44715,26.1529
237.992,1043,2.27099,28.1815
247.992,1030,2.1092,30.3432
257.992,1102,2.22337,28.7851
267.992,1088,2.33832,27.3701
277.992,1217,2.11822,30.2141
287.992,1175,2.18842,29.2448
297.992,1171,2.06768,30.9525
