time,flow,occupancy,speed
9.57155,0,nan,nan
19.5716,0,nan,nan
29.5716,0,nan,nan
39.5716,0,nan,nan
49.5716,0,nan,nan
59.5716,0,nan,nan
69.5716,0,nan,nan
79.5716,0,nan,nan
89.5716,0,nan,nan
99.5716,0,nan,nan
109.572,0,nan,nan
119.572,0,nan,nan
129.572,138,1.87994,34.0436
139.572,206,2.03034,31.5219
149.572,240,2.01388,31.7794
159.572,338,2.07022,30.9147
169.572,424,2.17174,29.4695
179.572,400,2.29263,27.9155
189.572,550,2.23844,28.5913
199.572,631,2.31977,27.5889
209.572,601,2.29381,27.9011
219.572,606,2.25226,28.4159
229.572,595,2.58793,24.7301
239.572,646,2.41485,26.5027
249.572,692,2.40688,26.5904
259.572,748,2.32246,27.557
269.572,787,2.38617,26.8212
279.572,824,2.35658,27.158
289.572,932,2.29827,27.8471
299.572,913,2.27916,28.0805
