time,flow,occupancy,speed
9.57155,0,nan,nan
19.5716,0,nan,nan
29.5716,0,nan,nan
39.5716,0,nan,nan
49.5716,0,nan,nan
59.5716,0,nan,nan
69.5716,0,nan,nan
79.5716,0,nan,nan
89.5716,200,1.96411,32.5848
99.5716,289,2.09007,30.621
109.572,459,2.04288,31.3283
119.572,602,2.13119,30.0302
129.572,555,2.14847,29.7886
139.572,541,2.36527,27.0582
149.572,505,2.68069,23.8745
159.572,654,2.31951,27.592
169.572,721,2.01796,31.7152
179.572,701,2.21344,28.9143
189.572,721,2.13796,29.9351
199.572,775,2.27803,28.0945
209.572,755,2.40342,26.6288
219.572,885,2.20361,29.0432
229.572,862,2.33931,27.3585
239.572,961,2.30839,27.725
249.572,980,2.26049,28.3124
259.572,984,2.32034,27.5821
269.572,1014,2.32549,27.5211
279.572,1004,2.19549,29.1507
289.572,1056,2.25024,28.4414
299.572,1069,2.41975,26.449
