time,flow,occupancy,speed
2.64556,0,nan,nan
12.6456,0,nan,nan
22.6456,0,nan,nan
32.6456,0,nan,nan
42.6456,0,nan,nan
52.6456,0,nan,nan
62.6456,0,nan,nan
72.6456,0,nan,nan
82.6456,0,nan,nan
92.6456,0,nan,nan
102.646,0,nan,nan
112.646,0,nan,nan
122.646,146,1.8828,33.9919
132.646,135,1.97799,32.356
142.646,252,2.04822,31.2467
152.646,330,1.98639,32.2192
162.646,442,2.17569,29.4159
172.646,417,2.2327,28.6648
182.646,394,2.29677,27.8652
192.646,485,2.48516,25.7528
202.646,497,2.16246,29.5959
212.646,626,1.99467,32.0855
222.646,598,2.1432,29.8619
232.646,588,2.39903,26.6774
242.646,652,2.22819,28.7228
252.646,726,2.27614,28.1178
262.646,753,2.31976,27.589
272.646,897,2.26877,28.2091
282.646,878,2.34371,27.3071
292.646,996,2.33706,27.3848
