time,flow,occupancy,speed
2.64556,0,nan,nan
12.6456,0,nan,nan
22.6456,0,nan,nan
32.6456,0,nan,nan
42.6456,0,nan,nan
52.6456,0,nan,nan
62.6456,0,nan,nan
72.6456,0,nan,nan
82.6456,0,nan,nan
92.6456,0,nan,nan
102.646,0,nan,nan
112.646,0,nan,nan
122.646,0,1.94984,32.8233
132.646,135,1.9595,32.6614
142.646,126,2.08203,30.7392
152.646,235,1.86193,34.373
162.646,309,2.10964,30.3369
172.646,417,2.18654,29.27
182.646,394,2.06655,30.9695
192.646,373,2.44635,26.1614
202.646,355,2.54821,25.1157
212.646,372,2.20872,28.9761
222.646,468,2.20863,28.9772
232.646,526,2.15985,29.6316
242.646,519,2.11827,30.2134
252.646,541,2.40636,26.5962
262.646,520,2.36025,27.1157
272.646,567,2.25864,28.3357
282.646,560,2.29741,27.8575
292.646,602,2.3542,27.1855
