time,flow,occupancy,speed
6.62527,0,nan,nan
16.6253,0,nan,nan
26.6253,0,nan,nan
36.6253,0,nan,nan
46.6253,0,nan,nan
56.6253,0,nan,nan
66.6253,0,nan,nan
76.6253,0,nan,nan
86.6253,0,nan,nan
96.6253,0,nan,nan
106.625,0,nan,nan
116.625,0,nan,nan
126.625,0,nan,nan
136.625,131,1.8505,34.5853
146.625,122,1.84393,34.7084
156.625,229,2.06749,30.9555
166.625,432,1.96416,32.5839
176.625,407,2.18777,29.2535
186.625,675,2.14037,29.9013
196.625,640,2.12611,30.102
206.625,714,2.32381,27.541
216.625,731,2.43684,26.2635
226.625,698,2.46713,25.9411
236.625,669,2.90632,22.021
246.625,802,2.8048,22.8181
256.625,1038,2.83137,22.6039
266.625,1282,2.712,23.5988
276.625,1431,2.69841,23.7177
286.625,1557,2.945,21.7318
296.625,1614,2.84485,22.4968
306.625,1702,2.83619,22.5655
316.625,1853,2.98256,21.4581
326.625,1884,2.95101,21.6875
336.625,1935,2.28428,28.0176
346.625,1962,2.42389,26.4039
356.625,2029,2.23459,28.6406
366.625,2022,2.13782,29.9371
376.625,1969,2.78924,22.9453
386.625,2122,2.77128,23.094
396.625,2105,2.28032,28.0663
406.625,2107,2.59386,24.6737
416.625,2151,2.40239,26.6401
426.625,2202,2.29264,27.9155
436.625,2151,2.31775,27.6129
446.625,2200,2.42569,26.3842
456.625,2270,2.44538,26.1718
466.625,2360,2.54922,25.1057
476.625,2379,2.39756,26.6938
486.625,2404,2.52421,25.3545
