time,flow,occupancy,speed
6.5633,0,nan,nan
16.5633,0,nan,nan
26.5633,0,nan,nan
36.5633,0,nan,nan
46.5633,0,nan,nan
56.5633,0,nan,nan
66.5633,0,nan,nan
76.5633,0,nan,nan
86.5633,0,nan,nan
96.5633,0,nan,nan
106.563,168,1.79075,35.7392
116.563,154,2.04409,31.3098
126.563,284,1.99555,32.0714
136.563,527,2.12131,30.17
146.563,491,2.22006,28.8281
156.563,804,2.15242,29.7339
166.563,886,2.3949,26.7234
176.563,897,2.53509,25.2457
186.563,849,2.77786,23.0393
196.563,860,2.87497,22.2611
206.563,1185,2.83002,22.6147
216.563,1429,2.8101,22.775
226.563,1509,3.0566,20.9383
236.563,1673,2.96275,21.6016
246.563,1810,2.86072,22.372
256.563,1950,2.61689,24.4565
266.563,1958,2.4955,25.6462
276.563,2082,2.458,26.0374
286.563,2047,2.25252,28.4127
296.563,2148,2.36064,27.1113
306.563,2125,2.37135,26.9888
316.563,2217,2.24072,28.5622
326.563,2270,2.66605,24.0056
336.563,2203,2.75443,23.2353
346.563,2337,2.25385,28.3959
356.563,2342,2.52895,25.3069
366.563,2307,2.49564,25.6447
376.563,2380,2.34235,27.323
386.563,2393,2.251,28.4318
396.563,2369,2.18878,29.2401
406.563,2399,2.53581,25.2385
416.563,2437,2.44644,26.1604
426.563,2548,2.48638,25.7403
436.563,2572,2.49554,25.6458
446.563,2611,2.61869,24.4397
456.563,2602,2.51693,25.4278
466.563,2662,2.19265,29.1885
476.563,2628,2.4633,25.9814
486.563,2633,3.06724,20.8656
