time,flow,occupancy,speed
7.80529,0,nan,nan
17.8053,0,nan,nan
27.8053,0,nan,nan
37.8053,0,nan,nan
47.8053,0,nan,nan
57.8053,0,nan,nan
67.8053,0,nan,nan
77.8053,0,nan,nan
87.8053,0,nan,nan
97.8053,0,nan,nan
107.805,0,nan,nan
117.805,0,nan,nan
127.805,0,nan,nan
137.805,130,1.84332,34.7199
147.805,121,2.00897,31.8571
157.805,228,2.06857,30.9393
167.805,429,1.95723,32.6993
177.805,404,2.1629,29.59
187.805,670,2.17844,29.3788
197.805,636,2.11767,30.2219
207.805,710,2.27064,28.1859
217.805,727,2.46837,25.928
227.805,695,2.44942,26.1286
237.805,666,2.93707,21.7904
247.805,900,2.81614,22.7262
257.805,1075,2.82355,22.6665
267.805,1277,2.81535,22.7325
277.805,1412,2.70838,23.6303
287.805,1475,2.84459,22.4988
297.805,1583,2.8849,22.1844
