time,flow,occupancy,speed
1.18274,0,nan,nan
11.1827,0,nan,nan
21.1827,0,nan,nan
31.1827,0,nan,nan
41.1827,0,nan,nan
51.1827,0,nan,nan
61.1827,0,nan,nan
71.1827,0,nan,nan
81.1827,0,nan,nan
91.1827,0,nan,nan
101.183,0,nan,nan
111.183,0,1.8704,34.2173
121.183,148,1.97756,32.363
131.183,219,2.07299,30.8734
141.183,254,1.82494,35.0697
151.183,333,2.17249,29.4593
161.183,357,2.13114,30.0309
171.183,399,2.11068,30.3219
181.183,377,2.87495,22.2613
191.183,395,2.15667,29.6754
201.183,501,2.2725,28.1628
211.183,494,2.34674,27.2719
221.183,537,2.18702,29.2636
231.183,576,2.17049,29.4864
241.183,567,2.13041,30.0412
251.183,587,2.47782,25.8292
261.183,606,2.2857,28.0002
271.183,677,2.37112,26.9915
281.183,691,2.23434,28.6438
291.183,679,2.49303,25.6716
