time,flow,occupancy,speed
7.80529,0,nan,nan
17.8053,0,nan,nan
27.8053,0,nan,nan
37.8053,0,nan,nan
47.8053,0,nan,nan
57.8053,0,nan,nan
67.8053,0,nan,nan
77.8053,0,nan,nan
87.8053,0,1.96506,32.569
97.8053,184,2.00837,31.8666
107.805,267,2.05173,31.1932
117.805,305,2.29027,27.9444
127.805,394,2.18835,29.2458
137.805,417,2.22588,28.7527
147.805,462,2.20527,29.0214
157.805,433,2.34687,27.2704
167.805,450,2.35198,27.2111
177.805,566,2.43848,26.2458
187.805,555,2.33074,27.4591
197.805,600,2.10551,30.3964
207.805,658,2.1142,30.2715
217.805,628,2.16934,29.5021
227.805,695,2.40284,26.6351
237.805,666,2.31669,27.6256
247.805,740,2.38185,26.8698
257.805,754,2.30746,27.7361
267.805,739,2.29521,27.8841
277.805,816,2.32185,27.5643
287.805,800,2.28601,27.9964
297.805,834,2.52576,25.3389
