time,flow,occupancy,speed
9.44669,0,nan,nan
19.4467,0,nan,nan
29.4467,0,nan,nan
39.4467,0,nan,nan
49.4467,0,nan,nan
59.4467,0,nan,nan
69.4467,414,2.03261,31.4866
79.4467,634,2.17702,29.3979
89.4467,804,2.11729,30.2273
99.4467,1267,2.47426,25.8663
109.447,1348,2.68798,23.8097
119.447,1326,2.65997,24.0605
129.447,1390,2.62539,24.3773
139.447,1755,2.85552,22.4127
149.447,1854,2.86,22.3776
159.447,2144,2.91489,21.9563
169.447,2145,2.82565,22.6496
179.447,2327,2.65171,24.1353
189.447,2261,2.39073,26.77
199.447,2238,1.99654,32.0554
209.447,2303,2.2046,29.0303
219.447,2296,2.34974,27.237
229.447,2306,2.14005,29.9059
239.447,2345,2.13547,29.97
249.447,2381,2.35002,27.2338
259.447,2442,2.38628,26.82
269.447,2404,2.37793,26.9141
279.447,2460,2.32532,27.5231
289.447,2524,2.35761,27.1461
299.447,2548,2.35923,27.1275
