time,flow,occupancy,speed
7.58616,0,nan,nan
17.5862,0,nan,nan
27.5862,0,nan,nan
37.5862,0,nan,nan
47.5862,0,nan,nan
57.5862,0,nan,nan
67.5862,0,nan,nan
77.5862,232,1.97643,32.3815
87.5862,205,2.02383,31.6232
97.5862,295,2.08719,30.6633
107.586,368,2.22076,28.8189
117.586,428,2.14747,29.8024
127.586,564,2.22513,28.7624
137.586,523,2.174,29.4389
147.586,512,2.1462,29.8201
157.586,502,2.36948,27.0102
167.586,601,2.38212,26.8668
177.586,608,2.11563,30.251
187.586,710,2.05882,31.0857
197.586,692,2.15631,29.6803
207.586,728,2.17765,29.3895
217.586,711,2.38351,26.8511
227.586,727,2.28422,28.0183
237.586,742,2.50947,25.5034
247.586,799,2.51348,25.4627
257.586,796,2.26477,28.2589
267.586,847,2.14233,29.874
277.586,830,2.05108,31.2031
287.586,863,2.26113,28.3044
297.586,931,2.31782,27.6121
