time,flow,occupancy,speed
4.73608,0,nan,nan
14.7361,0,nan,nan
24.7361,0,nan,nan
34.7361,0,nan,nan
44.7361,0,nan,nan
54.7361,0,nan,nan
64.7361,0,nan,nan
74.7361,96,2.00645,31.8971
84.7361,212,2.00006,31.999
94.7361,304,2.07514,30.8414
104.736,378,2.20389,29.0395
114.736,439,2.18484,29.2927
124.736,577,2.22809,28.7241
134.736,534,2.04752,31.2574
144.736,547,2.54656,25.1319
154.736,511,2.77142,23.0929
164.736,611,2.39324,26.7419
174.736,700,2.06443,31.0014
184.736,662,2.0761,30.8271
194.736,702,2.20398,29.0384
204.736,756,2.3024,27.7971
214.736,737,2.35772,27.1449
224.736,768,2.35619,27.1625
234.736,751,2.38247,26.8628
244.736,809,2.364,27.0727
254.736,833,2.37559,26.9407
264.736,870,2.1947,29.1611
274.736,838,2.20423,29.0351
284.736,897,2.18603,29.2769
294.736,916,2.45079,26.1141
