time,flow,occupancy,speed
5.21848,0,nan,nan
15.2185,0,nan,nan
25.2185,0,nan,nan
35.2185,0,nan,nan
45.2185,0,nan,nan
55.2185,0,nan,nan
65.2185,0,nan,nan
75.2185,0,nan,nan
85.2185,0,1.9507,32.8087
95.2185,189,2.00546,31.9129
105.218,273,2.05623,31.1249
115.218,312,2.2797,28.0738
125.218,402,2.21096,28.9467
135.218,532,2.16987,29.4949
145.218,495,2.19831,29.1132
155.218,487,2.22358,28.7825
165.218,479,2.11801,30.217
175.218,575,2.28683,27.9863
185.218,602,2.31036,27.7013
195.218,626,2.02116,31.6649
205.218,666,2.12373,30.1356
215.218,635,2.14021,29.9036
225.218,687,2.43929,26.2371
235.218,673,2.40133,26.6519
245.218,792,2.43947,26.2352
255.218,761,2.41879,26.4595
265.218,746,2.35776,27.1444
275.218,745,2.3203,27.5827
285.218,845,2.40903,26.5667
295.218,829,2.45633,26.0551
