time,flow,occupancy,speed
1.40351,0,nan,nan
11.4035,0,nan,nan
21.4035,0,nan,nan
31.4035,0,nan,nan
41.4035,0,nan,nan
51.4035,0,nan,nan
61.4035,0,nan,nan
71.4035,0,nan,nan
81.4035,0,nan,nan
91.4035,0,nan,nan
101.404,0,nan,nan
111.404,0,nan,nan
121.404,148,1.95249,32.7786
131.404,219,2.06205,31.0371
141.404,254,1.84848,34.623
151.404,332,2.16267,29.5931
161.404,446,2.07028,30.9137
171.404,420,2.06669,30.9674
181.404,396,2.70443,23.6649
191.404,489,2.20695,28.9993
201.404,518,2.19588,29.1455
211.404,527,2.21847,28.8487
221.404,504,2.34861,27.2501
231.404,575,1.98964,32.1666
241.404,566,2.29105,27.9348
251.404,544,2.3394,27.3574
261.404,619,2.45078,26.1142
271.404,596,2.42043,26.4416
281.404,690,2.41615,26.4885
291.404,679,2.29948,27.8323
