time,flow,occupancy,speed
5.20477,0,nan,nan
15.2048,0,nan,nan
25.2048,0,nan,nan
35.2048,0,nan,nan
45.2048,0,nan,nan
55.2048,0,nan,nan
65.2048,0,nan,nan
75.2048,239,1.90427,33.6087
85.2048,338,2.05978,31.0713
95.2048,529,2.06178,31.0412
105.205,684,2.14666,29.8138
115.205,968,2.3739,26.9599
125.205,1092,2.29931,27.8344
135.205,1171,2.69234,23.7711
145.205,1090,2.58732,24.736
155.205,1438,2.8319,22.5997
165.205,1547,2.68438,23.8416
175.205,1767,2.82818,22.6294
185.205,1904,2.97924,21.482
195.205,2028,3.01058,21.2584
205.205,2070,2.78981,22.9406
215.205,2157,2.21225,28.9298
225.205,2142,2.17679,29.401
235.205,2234,2.23566,28.6269
245.205,2202,2.21781,28.8573
255.205,2200,2.30311,27.7885
265.205,2212,2.26747,28.2253
275.205,2302,2.19283,29.186
285.205,2347,2.34919,27.2435
295.205,2365,2.58819,24.7277
