time,flow,occupancy,speed
7.99159,0,nan,nan
17.9916,0,nan,nan
27.9916,0,nan,nan
37.9916,189,2.15206,29.7389
47.9916,375,2.0063,31.8996
57.9916,682,2.17212,29.4643
67.9916,847,2.14305,29.864
77.9916,923,2.14755,29.8014
87.9916,1063,3.45202,18.5398
97.9916,1138,3.81613,16.7709
107.992,1166,6.34469,10.0872
117.992,1250,7.45094,8.58952
127.992,1293,6.64963,9.6246
137.992,1304,8.46291,7.56241
147.992,1313,6.1887,10.3414
157.992,1412,8.34124,7.67272
167.992,1457,7.13448,8.97052
177.992,1456,7.95247,8.04781
187.992,1474,8.62285,7.42214
197.992,1509,9.58,6.68058
207.992,1488,9.19776,6.95822
217.992,1568,9.19344,6.96149
227.992,1563,8.00505,7.99495
237.992,1573,8.41392,7.60644
247.992,1596,9.01415,7.09995
257.992,1618,8.99504,7.11503
267.992,1598,7.83373,8.1698
277.992,1618,9.31992,6.86701
287.992,1637,8.50587,7.52422
297.992,1618,8.79027,7.28078
