time,flow,occupancy,speed
5.8202,0,nan,nan
15.8202,0,nan,nan
25.8202,0,nan,nan
35.8202,201,2.03763,31.4091
45.8202,628,2.05713,31.1113
55.8202,709,2.26132,28.3021
65.8202,765,2.26764,28.2232
75.8202,949,2.07303,30.8726
85.8202,880,2.25296,28.4071
95.8202,1089,2.64859,24.1638
105.82,1088,2.192,29.197
115.82,1181,2.23175,28.677
125.82,1173,2.2124,28.9279
135.82,1219,2.4066,26.5935
145.82,1234,2.38492,26.8353
155.82,1224,2.53983,25.1985
165.82,1259,2.29896,27.8387
175.82,1269,2.43635,26.2688
185.82,1317,2.517,25.4271
195.82,1305,2.38948,26.7841
205.82,1346,2.30722,27.739
215.82,1334,2.26702,28.2308
225.82,1371,2.23152,28.6801
235.82,1312,2.13629,29.9585
245.82,1347,2.3471,27.2677
255.82,1365,2.10578,30.3925
265.82,1367,2.07708,30.8124
275.82,1396,2.18065,29.3491
285.82,1385,2.18134,29.3398
295.82,1411,2.0652,30.9897
